train_loss,val_loss,lr
1.7524878372949093,0.28138130940731215,0.001
-2.109167115489069,-4.626447929526275,0.001
-4.851114535537851,-6.003833122973172,0.001
-5.0702300767962685,-5.752729283938618,0.001
-5.130036843727691,-5.921872210952471,0.001
-5.241782207653914,-6.182609114257045,0.001
-5.3401493316196,-6.248012071885403,0.001
-5.439733978421727,-6.31791397910448,0.001
-5.441417262144208,-6.328557815191881,0.001
-5.427397985394246,-6.293006842991091,0.001
-5.4581314397476595,-6.369542340812443,0.001
-5.456914927842638,-6.377357863780087,0.001
-5.40241155111366,-6.353757282473007,0.001
-5.4686083326422175,-6.362426134025526,0.001
-5.461078179787261,-6.305416398078391,0.001
-5.460534498854169,-6.385639091707626,0.001
-5.445223347483405,-6.37385508099442,0.001
-5.454641737466129,-6.361596062498273,0.001
-5.464385937316044,-6.342219361719096,0.001
-5.460600086179178,-6.326045054309773,0.001
-5.446573921170633,-6.268852668738215,0.001
-5.476493731012262,-6.335774085806601,0.0005
-5.491668092872407,-6.355612289980522,0.0005
-5.494652387617187,-6.3570097797321825,0.0005
-5.504510364660726,-6.3576302348442795,0.0005
-5.518145651913514,-6.258764683825415,0.0005
-5.480849583485628,-6.366651900909232,0.0005
-5.527248923075416,-6.332735082638338,0.00025
-5.499016929886641,-6.34310836312156,0.00025
-5.509870028060635,-6.33044562549711,0.00025
-5.499716261736369,-6.349067565030272,0.00025
-5.509205077956435,-6.343690464331669,0.00025
-5.500392939927599,-6.275664419498083,0.00025
-5.506001859073107,-6.330560564245068,0.000125
-5.51220714530615,-6.318994354152079,0.000125
-5.526835293637,-6.330155831462932,0.000125
