crisis,model,n_days,actual_rv_mean,RMSE,MAE,QLIKE
Aug 2023 selloff,Naive,11,0.0013401134766775637,0.004469892380073093,0.002078811233974804,-0.7451924392792196
Aug 2023 selloff,HAR,11,0.0013401134766775637,0.0030773780330340963,0.0018100126674090633,-5.601203321460996
Aug 2023 selloff,GARCH,11,0.0013401134766775637,0.0032481193084021183,0.0013616397086221,-4.028749839204853
Aug 2023 selloff,EGARCH,11,0.0013401134766775637,0.0032772325182185776,0.0012019000311812905,-1.3763613987036862
Aug 2023 selloff,LSTM,11,0.0013401134766775637,0.003216195300385242,0.0014252491639258726,-4.9269996351561165
Aug 2023 selloff,Hybrid,11,0.0013401134766775637,0.0032122248968988686,0.0014113232775068182,-4.938849939191171
Oct 2023 ETF rally,Naive,16,0.0006396560154462814,0.0006417266949606429,0.0004695471097803315,-5.890895059486845
Oct 2023 ETF rally,HAR,16,0.0006396560154462814,0.00115078352715953,0.001059325453624531,-6.024699474547323
Oct 2023 ETF rally,GARCH,16,0.0006396560154462814,0.0005090496909254315,0.0003581946590571313,-6.384011076953095
Oct 2023 ETF rally,EGARCH,16,0.0006396560154462814,0.0005103983152200539,0.00035241472772596256,-6.377938225830015
Oct 2023 ETF rally,LSTM,16,0.0006396560154462814,0.0005075436998882404,0.00043013588719539376,-6.387016706984148
Oct 2023 ETF rally,Hybrid,16,0.0006396560154462814,0.0005023745936399791,0.00041542000264532504,-6.3921084815941125
ETF approval,Naive,21,0.0009490114458224558,0.0007624771090153278,0.0005125702187210074,-5.775116409335165
ETF approval,HAR,21,0.0009490114458224558,0.0009562937982268222,0.0008986184115616774,-5.882328286907646
ETF approval,GARCH,21,0.0009490114458224558,0.0008894847521018469,0.0007744476809294821,-5.913249081714717
ETF approval,EGARCH,21,0.0009490114458224558,0.0009618851713008425,0.0008538822882298155,-5.882536637918544
ETF approval,LSTM,21,0.0009490114458224558,0.0007556526397892131,0.0005854822618146871,-6.018048159252305
ETF approval,Hybrid,21,0.0009490114458224558,0.0007493196084502788,0.0005635887155213537,-6.027789308360573
BTC halving,Naive,11,0.0012312389754235,0.0008985526652823866,0.000644048116089009,-5.701642791977395
BTC halving,HAR,11,0.0012312389754235,0.000723163773149652,0.0006550994056009364,-5.684702713217951
BTC halving,GARCH,11,0.0012312389754235,0.0007331821656474211,0.0006626296709918637,-5.689743071410164
BTC halving,EGARCH,11,0.0012312389754235,0.0008510919793775443,0.0007751677621862908,-5.655832616251956
BTC halving,LSTM,11,0.0012312389754235,0.0007016614274032383,0.000512475110879809,-5.757166003176802
BTC halving,Hybrid,11,0.0012312389754235,0.000702886139160916,0.0005009855515024182,-5.752761719846595
Yen carry unwind,Naive,10,0.00423879671319141,0.009268444790983781,0.0047620803327301005,-4.190564514283024
Yen carry unwind,HAR,10,0.00423879671319141,0.0069935940889319865,0.00297201768306413,-3.8917020346636364
Yen carry unwind,GARCH,10,0.00423879671319141,0.007051514614449749,0.00318252170596418,-3.866403856391669
Yen carry unwind,EGARCH,10,0.00423879671319141,0.007070145928958997,0.0031721155638412698,-3.7752457743408874
Yen carry unwind,LSTM,10,0.00423879671319141,0.0075708146550076925,0.00404251002954693,-3.851052423793073
Yen carry unwind,Hybrid,10,0.00423879671319141,0.0075619903650552935,0.0040076234992678,-3.852565977921774
